TIPO DE SUCURSAL,NOMBRE DEL PRODUCTO,CLAVE DEL PRODUCTO,CATEGORIA (LINEA) DE PRODUCTO,UNIDAD DE MEDIDA (UNIDAD DE VENTA),¿SE VENDE EN EL PUNTO DE VENTA?,CODIGO DE BARRAS,DESCRIPCION LARGA,Peso ,Volumen ,DIAS PARA ENTREGARLO AL CLIENTE,METODO DE ABASTECIMIENTO,Seguimiento (Sin seguimiento/Lote/Serie,FECHA DE CADUCIDAD,DIAS ANTES DE CADUCAR,Días a Consumir preferentemente,Días para quitar el producto,Tipo ,Clave SAT ,Clave unidad SAT,DIAS DE GARANTIA,% COMISION VENDEDOR,% COMISION PARA REFERIDOS,Stock Optimo DE ESTE TIPO DE SUCURSAL,Punto de reorden DE ESTE TIPO DE SUCURSAL,Multiple de re-orden DE ESTE TIPO DE SUCURSAL,Precio del producto en este tipo de surcursal,Unidad de COMPRA,Costo promedio ,¿ Cuántos puntos abonan la compra de este producto/ servicio?,¿ Cuanto cuesta el producto en puntos?,TASA IVA,TASA IEPS,Almacen donde se ingresa automaticamente,Nombre del laboratorio,Nombre de la sustancia activa,NUMERO DE REGISTRO DE SENASICA,DEPARTAMENTO  ,TIPO DE CONTROL 
,MINI PUPPY 5.9 KG,ROYMINIPUPPY5.9,ROYCA,Unidades,Si,30111493132,MINI PUPPY 5.9 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,1249.1379,Unidades,891.594828,,,16,16,,,,,,
,MINIATURE SCHNAUZER 4.54 KG,ROYMISC4,ROYCA,Unidades,Si,30111453327,MINIATURE SCHNAUZER 4.54 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,1180.1724,Unidades,779.094828,,,16,16,,,,,ALIMENTOS,
,MINIATURE SCHNAUZER PUPPY 1.14KG,ROYMINSCHNA1.14P,ROYCA,Unidades,Si,30111510457,MINIATURE SCHNAUZER PUPPY 1.14KG,1.14,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,448.2759,Unidades,322.728132,,,16,16,,,,,ALIMENTOS,
,PERSIAN ADULTO 3.18 KG,ROYPERSAADUL,ROYCA,Unidades,Si,30111543578,PERSIAN ADULTO 3.18 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,849.1379,Unidades,610.848985,,,16,16,,,,,ALIMENTOS,
,PERSIAN KITTEN 1.3 KG,ROYPERKIT15,ROYCA,Unidades,Si,30111542731,PERSIAN KITTEN 1.3 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,400.8621,Unidades,246.378564,,,16,16,,,,,ALIMENTOS,
,"POMERANIA  ADULTO 1.13
",ROYPOME.13,ROYCA,Unidades,Si,,"POMERANIA  ADULTO 1.13
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,439.655172,Unidades,329.741,,,16,16,,,,,,
,PUG ADULT 1.13 KG,ROYADPUG,ROYCA,Unidades,Si,30111454409,PUG ADULT 1.13 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,439.6552,Unidades,243.543446,,,16,16,,,,,ALIMENTOS,
,PUG ADULT 4.54 KG,RCPUG4.54,ROYCA,Unidades,Si,30111454553,PUG ADULT 4.54 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,1180.1724,Unidades,761.9625,,,16,16,,,,,ALIMENTOS,
,PUG PUPPY 1.13 KG,ROYPUGPU,ROYCA,Unidades,Si,30111510655,PUG PUPPY 1.13 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,448.2759,Unidades,281.137304,,,16,16,,,,,ALIMENTOS,
,PUPPY PRO TECH DOG 300 G (LECHE),RCPUPPRODOG,ROYCA,Unidades,Si,,PUPPY PRO TECH DOG 300 G (LECHE),0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121803,H87,0,,,0,,,767.241379,Unidades,576.72,,,16,16,,,,,,
,RENAL SUPPORT F FELINE 1.37KG,ROYRSFE1.37,ROYCA,Unidades,Si,30111583031,RENAL SUPPORT F FELINE 1.37KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,499.1379,Unidades,366.699676,,,16,16,,,,,ALIMENTOS,
,RENAL SUPPORT F FELINE 3 KG,ROYRENGATO3,ROYCA,Unidades,Si,30111583062,RENAL SUPPORT F FELINE 3 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,861.2069,Unidades,641.533401,,,16,16,,,,,ALIMENTOS,
,RENAL SUPPORT S CANINE 2.73KG,ROYRSSCAN,ROYCA,Unidades,Si,30111561565,RENAL SUPPORT S CANINE 2.73KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,688.7931,Unidades,499.241936,,,16,16,,,,,ALIMENTOS,
,RENAL SUPPORT S CANINE 8KG,ROYRSSCAN08,ROYCA,Unidades,Si,30111561572,RENAL SUPPORT S CANINE 8KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,1637.069,Unidades,1217.336186,,,16,16,,,,,ALIMENTOS,
,SATIETY SUPPORT 8KG,ROYSATSUP8CAN,ROYCA,Unidades,Si,30111472113,SATIETY SUPPORT 8KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,1637.069,Unidades,953.663793,,,16,16,,,,,,
,SATIETY SUPPORT DOG 12 KG,ROYSATD12,ROYCA,Unidades,Si,,SATIETY SUPPORT DOG 12 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,2154.3103,Unidades,1615.7328,,,16,16,,,,,ALIMENTOS,
,SATIETY SUPPORT DOG 3.50KG,ROYSATISUP350,ROYCA,Unidades,Si,30111472175,SATIETY SUPPORT DOG 3.50KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,861.2069,Unidades,616.984698,,,16,16,,,,,ALIMENTOS,
,SATIETY SUPPORT FELINE 1.50 KG,ROYSATF1.50,ROYCA,Unidades,Si,30111471437,SATIETY SUPPORT FELINE 1.50 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,456.0345,Unidades,330.3481,,,16,16,,,,,ALIMENTOS,
,SATIETY SUPPORT FELINE 3.5 KG,ROYSATFEL354,ROYCA,Unidades,Si,30111471475,SATIETY SUPPORT FELINE 3.5 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,1016.3793,Unidades,762.2845,,,16,16,,,,,ALIMENTOS,
,SATIETY SUPPORT FELINE 8 KG,ROYSASUFE8,ROYCA,Unidades,Si,,SATIETY SUPPORT FELINE 8 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,2016.3793,Unidades,1124.38,,,16,16,,,,,ALIMENTOS,
,SATIETY SUPPORT SMALL DOG 3KG,ROYSATSSD03,ROYCA,Unidades,Si,30111560667,SATIETY SUPPORT SMALL DOG 3KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,775,Unidades,580.021359,,,16,16,,,,,ALIMENTOS,
,SENIOR CONSULT FELINE 3.5 KG,ROYCONSFEL35,ROYCA,Unidades,Si,30111581044,SENIOR CONSULT FELINE 3.5 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,723.2759,Unidades,532.437673,,,16,16,,,,,ALIMENTOS,
,SHIH TZU ADULT DE 1.13,RCSHTZAD1.13,ROYCA,Unidades,Si,30111451521,SHIH TZU ADULT DE 1.13,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,439.6552,Unidades,317.573166,,,16,16,,,,,ALIMENTOS,
,SHIH TZU ADULTO 4.54KG,RCSHTZAD4.54KG,ROYCA,Unidades,Si,30111451514,SHIH TZU ADULTO 4.54KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,1203.448276,Unidades,820.47,,,16,16,,,,,,
,SHIH TZU PUPPY 1.13KG,RCSHTZCA1.13,ROYCA,Unidades,Si,30111452252,SHIH TZU PUPPY 1.13KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,448.2759,Unidades,313.569687,,,16,16,,,,,ALIMENTOS,
,SKIN CARE ADULT 10 KG,ROYSKCA10,ROYCA,Unidades,Si,,SKIN CARE ADULT 10 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,1843.9655,Unidades,1551.0776,,,16,16,,,,,,
,SKIN CARE SMALL DOG 4KG,ROYSKCASD04,ROYCA,Unidades,Si,30111496300,SKIN CARE SMALL DOG 4KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,1033.6207,Unidades,758.830978,,,16,16,,,,,ALIMENTOS,
,SMALL ADULT 2 KG,ROYMINISPEC,ROYCA,Unidades,Si,30111451040,SMALL ADULT 2 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,590.5172,Unidades,434.561288,,,16,16,,,,,ALIMENTOS,
,SMALL ADULT 6.37 KG,ROYMINIADUL,ROYCA,Unidades,Si,,SMALL ADULT 6.37 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,1292.2414,Unidades,393.375,,,16,16,,,,,ALIMENTOS,
,SMALL SENSITIVE SKIN CARE 1.37 KG,ROYSMASENS1.3,ROYCA,Unidades,Si,30111460127,SMALL SENSITIVE SKIN CARE 1.37 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,392.2414,Unidades,257.974138,,,16,16,,,,,,
,STARTER DOG 13KG,ROYSTAR13,ROYCA,Unidades,Si,,STARTER DOG 13KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,2283.6207,Unidades,1483.836207,,,16,16,,,,,,
,STARTER DOG 4KG,ROYSTRDOG04,ROYCA,Unidades,Si,30111493545,STARTER DOG 4KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,861.2069,Unidades,638.4699,,,16,16,,,,,ALIMENTOS,
,"STARTER SMAL DOGL 1.14KG
",ROYSTRSD1.14,ROYCA,Unidades,Si,30111445025,"STARTER SMAL DOGL 1.14KG
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,361.2069,Unidades,270.905172,,,16,16,,,,,,
,STARTER SMALL DOG 9.5 KG,ROYSTRSD9.50,ROYCA,Unidades,Si,30111492593,STARTER SMALL DOG 9.5 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,2068.1034,Unidades,1189.008621,,,16,16,,,,,,
,TREATS SATIETY DOG 0.500KG,ROYTREASAT,ROYCA,Unidades,Si,,TREATS SATIETY DOG 0.500KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,240.5172,Unidades,180.387931,,,16,16,,,,,,
,URINARY SO 11.50 KG,ROYURIPER11,ROYCA,Unidades,Si,30111426024,URINARY SO 11.50 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,2240.5172,Unidades,1680.3879,,,16,16,,,,,ALIMENTOS,
,URINARY SO 3KG,ROYURISO03,ROYCA,Unidades,Si,30111426062,URINARY SO 3KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,740.517241,Unidades,550.128995,,,16,16,,,,,ALIMENTOS,
,"URINARY SO CANINE MODERADA C. 3.5KG
",ROYURIMOD35,ROYCA,Unidades,Si,,"URINARY SO CANINE MODERADA C. 3.5KG
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,697.4138,Unidades,523.0603,,,16,16,,,,,,
,URINARY SO FELINE 3.50 KG,ROYURISOFE,ROYCA,Unidades,Si,30111470775,URINARY SO FELINE 3.50 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,1042.2414,Unidades,760.743106,,,16,16,,,,,ALIMENTOS,
,URINARY SO FELINE 8KG,ROYURISOFE08,ROYCA,Unidades,Si,30111470188,URINARY SO FELINE 8KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,1969.8276,Unidades,1462.939029,,,16,16,,,,,ALIMENTOS,
,URINARY SO SMALL DOG 4KG,RCUSOSD04,ROYCA,Unidades,Si,30111488480,URINARY SO SMALL DOG 4KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,990.5172,Unidades,731.12067,,,16,16,,,,,ALIMENTOS,
,WEIGHT CONTROL CANINE 8 KG,ROYWEIG08,ROYCA,Unidades,Si,30111482501,WEIGHT CONTROL CANINE 8 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,1616.3793,Unidades,901.939655,,,16,16,,,,,ALIMENTOS,
,WEIGHT CONTROL CANINE SMALL DOG 3.5 KG,ROYWECOSD35,ROYCA,Unidades,Si,30111482747,WEIGHT CONTROL CANINE SMALL DOG 3.5 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,926.7241,Unidades,544.396552,,,16,16,,,,,ALIMENTOS,
,WEIGHT CONTROL FELINE 1.5 KG,ROYWCF15,ROYCA,Unidades,Si,30111580221,WEIGHT CONTROL FELINE 1.5 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,430.1724,Unidades,313.933512,,,16,16,,,,,ALIMENTOS,
,WEIGHT CONTROL FELINE 3.50 KG,ROYWCF35,ROYCA,Unidades,Si,30111580245,WEIGHT CONTROL FELINE 3.50 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,1033.6207,Unidades,742.88775,,,16,16,,,,,ALIMENTOS,
,WEIGHT CONTROL FELINE 8KG,ROYWCF08,ROYCA,Unidades,Si,30111580214,WEIGHT CONTROL FELINE 8KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,1866.3793,Unidades,1163.146552,,,16,16,,,,,ALIMENTOS,
,WEIGHT CONTROL LARGE DOG 11 KG,ROYWEIG11,ROYCA,Unidades,Si,,WEIGHT CONTROL LARGE DOG 11 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,1843.965517,Unidades,1382.9741,,,16,16,,,,,,
,WET ADULT BEAUTY LATA 0.165GR,ROYSPTADULATA,ROYCA,Unidades,Si,,WET ADULT BEAUTY LATA 0.165GR,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,76.7241,Unidades,67.8879,,,16,16,,,,,,
,"WET ADULTO LATA 385 G 
",ROYSPTADULTLATA,ROYCA,Unidades,Si,30111420657,"WET ADULTO LATA 385 G 
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,90.5172,Unidades,67.326417,,,16,16,,,,,,
,"WET LATA KITTEN INSTINCTIVE LOAF 145 GR
",ROYSPTKITTLOAFLA,ROYCA,Unidades,Si,30111410115,"WET LATA KITTEN INSTINCTIVE LOAF 145 GR
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,62.068966,Unidades,55.192882,,,16,16,,,,,,
,"WET MATURE ADULT LATA 385 G
",ROYSPTMATLATA,ROYCA,Unidades,Si,30111420855,"WET MATURE ADULT LATA 385 G
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,90.5172,Unidades,67.819351,,,16,16,,,,,,
,WET PUPPY LATA 165GR,ROYLATPUPY165GR,ROYCA,Unidades,Si,30111420114,WET PUPPY LATA 165GR,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121802,H87,0,,,0,,,76.7241,Unidades,52.743476,,,16,16,,,,,,
,"WET PUPPY LATA 385 G
",ROYSPTPUPLATA,ROYCA,Unidades,Si,30111420558,"WET PUPPY LATA 385 G
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,90.5172,Unidades,67.383678,,,16,16,,,,,,
,YORKSHIRE TERRIER ADULTO 1.13,ROYYORKS1.13,ROYCA,Unidades,Si,30111451422,YORKSHIRE TERRIER ADULTO 1.13,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,439.6552,Unidades,322.757584,,,16,16,,,,,ALIMENTOS,
,YORKSHIRE TERRIER ADULTO 4.54 KG,ROYYOR45,ROYCA,Unidades,Si,30111451415,YORKSHIRE TERRIER ADULTO 4.54 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,1180.1724,Unidades,742.887931,,,16,16,,,,,ALIMENTOS,
,YORKSHIRE TERRIER PUPPY 1.13 KG,ROYADYORTER,ROYCA,Unidades,Si,30111501257,YORKSHIRE TERRIER PUPPY 1.13 KG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121800,H87,0,,,0,,,448.2759,Unidades,316.158576,,,16,16,,,,,ALIMENTOS,
,"RELAX PET 105 G
",RUIMREL,RUIM,Unidades,Si,,"RELAX PET 105 G
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111302,H87,0,,,0,,,0,Unidades,310.5,,,16,16,,,,,,
,"RUIMI BIORESTAURADOR CAPILAR
",RUIMBIORE,RUIM,Unidades,Si,,"RUIMI BIORESTAURADOR CAPILAR
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,120.689655,Unidades,102.3125,,,16,16,,,,,,
,"RUIMI CLEAN EYES PET
",RUIMCLEANEYES,RUIM,Unidades,Si,,"RUIMI CLEAN EYES PET
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,129.310345,Unidades,103.052,,,16,16,,,,,,
,"RUIMI ESSENS BABY PET 120 ML
",RUIMBABY,RUIM,Unidades,Si,,"RUIMI ESSENS BABY PET 120 ML
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,125,Unidades,86.45,,,16,16,,,,,,
,"RUIMI ESSENS DULCE AMOR 120 ML
",RUIMDULCE,RUIM,Unidades,Si,,"RUIMI ESSENS DULCE AMOR 120 ML
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,125,Unidades,81.25,,,16,16,,,,,,
,"RUIMI ESSENS JUNIOR ELEGANTE 120 ML
",RUIMJUNIOR,RUIM,Unidades,Si,,"RUIMI ESSENS JUNIOR ELEGANTE 120 ML
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,125,Unidades,81.25,,,16,16,,,,,,
,"RUIMI ESSENS MANZANA VERDE 120 ML
",RUIMMANZAN,RUIM,Unidades,Si,,"RUIMI ESSENS MANZANA VERDE 120 ML
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,125,Unidades,81.25,,,16,16,,,,,,
,"RUIMI GOLDEN SHINE CHOCOMENTA
",RUIMGOLDCHOCO,RUIM,Unidades,Si,,"RUIMI GOLDEN SHINE CHOCOMENTA
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,142.241379,Unidades,146,,,16,16,,,,,,
,"RUIMI GOLDEN SHINE TORONJA
",RUIMGOLD,RUIM,Unidades,Si,,"RUIMI GOLDEN SHINE TORONJA
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,142.241379,Unidades,94.9,,,16,16,,,,,,
,"RUIMI GOLDEN SHINE UVA 
",RUIMGOLDUVA,RUIM,Unidades,Si,,"RUIMI GOLDEN SHINE UVA 
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,142.241379,Unidades,120.45,,,16,16,,,,,,
,"RUIMI NATURAL PROTEC
",RUIMNATPROC,RUIM,Unidades,Si,,"RUIMI NATURAL PROTEC
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,120.689655,Unidades,80.918625,,,16,16,,,,,,
,RUIMI PADS CLEAN EARS,DIPRUIMIEAR,RUIM,Unidades,Si,,RUIMI PADS CLEAN EARS,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111302,H87,0,,,0,,,105,Unidades,63.666667,,,0,0,,DIPROFAQ,,,MEDICAMENTOS,
,"RUIMI PADS CLEAN EYES TOALLITAS
",RUIMCLEANPADSEYE,RUIM,Unidades,Si,,"RUIMI PADS CLEAN EYES TOALLITAS
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111302,H87,0,,,0,,,68.965517,Unidades,52,,,16,16,,,,,,
,"RUIMI RELAXDOL PET
",RUIMRELAXD,RUIM,Unidades,Si,,"RUIMI RELAXDOL PET
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,125,Unidades,105.95,,,16,16,,,,,,
,"RUIMI RELAXING PET 30 ML
",RUIMRELAX,RUIM,Unidades,Si,,"RUIMI RELAXING PET 30 ML
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,120.689655,Unidades,95.833333,,,16,16,,,,,,
,"RUIMI SHAMPOO NO MAS JALONES 425 ML
",RUIMSHAMNOJAL,RUIM,Unidades,Si,,"RUIMI SHAMPOO NO MAS JALONES 425 ML
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,116.37931,Unidades,73.6,,,16,16,,,,,,
,"RUIMI SHAMPOO SPA 4-1 425 ML
",RUIMSHAM4-1,RUIM,Unidades,Si,,"RUIMI SHAMPOO SPA 4-1 425 ML
",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,,H87,0,,,0,,,116.37931,Unidades,74.75,,,16,16,,,,,,
,AZITRO OFTENO,SANAZIT,SANT,Unidades,Si,7503016845304,AZITRO OFTENO,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,243,Unidades,154.31415,,,0,0,,SANTGARD,,,MEDICAMENTOS,
,BETAGEN FORTE,SANBEFOR,SANT,Unidades,Si,7503016845014,BETAGEN FORTE,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,304,Unidades,161.473471,,,0,0,,SANTGARD,Sulfato de Gentamicina/Acetato de Betametasona,Q-0820-001-1,MEDICAMENTOS,GRUPO 3
,BETAPRESS,SANBET,SANT,Unidades,Si,7503016845113,BETAPRESS,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,265,Unidades,173.68747,,,0,0,,SANTGARD,Betaxolol Clorhidrato,Q-0820-016,MEDICAMENTOS,GRUPO 3
,BRIMOVET,SANBRI,SANT,Unidades,Si,7503016845397,BRIMOVET,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,420,Unidades,264.741706,,,0,0,,SANTGARD,,,MEDICAMENTOS,
,CLORANFIVET,SANCLO,SANT,Unidades,Si,7503016845083,CLORANFIVET,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,132,Unidades,96.762713,,,0,0,,SANTGARD,Cloranfenicol, Q-0820-002,MEDICAMENTOS,GRUPO 3
,CORTIPET 10 MG,SACORT10,SANT,Unidades,Si,7503016845458,CORTIPET 10 MG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,269,Unidades,174.2341,,,0,0,,SANTGARD,Prednisona,Q-0820-043,MEDICAMENTOS,GRUPO 2
,CORTIPET 20 MG,SANCOR20,SANT,Unidades,Si,7503016845465,CORTIPET 20 MG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,292,Unidades,190.229745,,,0,0,,SANTGARD,Prednisona,Q-0820-044,MEDICAMENTOS,GRUPO 2
,CORTIPET 5 MG,SANCORT,SANT,Unidades,Si,7503016845441,CORTIPET 5 MG,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,238,Unidades,154.451438,,,0,0,,SANTGARD,Prednisona,Q-0820-038,MEDICAMENTOS,GRUPO 2
,DEMECAN OFTENO,SANDEM,SANT,Unidades,Si,7503016845175,DEMECAN OFTENO,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,309,Unidades,194.56189,,,0,0,,SANTGARD,Bromuro de Demecario,Q-0820-018,MEDICAMENTOS,GRUPO 3
,DEXIVET,SANDEX,SANT,Unidades,Si,7503016845168,DEXIVET,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,176,Unidades,106.538377,,,0,0,,SANTGARD,Dexametasona,Q-0820-015,MEDICAMENTOS,GRUPO 3 
,DICLOFTAN,SANDICL,SANT,Unidades,Si,7503016845045,DICLOFTAN,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,139,Unidades,94.683022,,,0,0,,SANTGARD,Diclofenaco sódico,Q-0820-019,MEDICAMENTOS,GRUPO 2
,DORZOLAVET,SANDOR,SANT,Unidades,Si,7503016845151,DORZOLAVET,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,390,Unidades,248.939848,,,0,0,,SANTGARD,Dorzolamida Clorhidrato,Q-0820-021,MEDICAMENTOS,GRUPO 3
,DORZOLAVET COMPUESTO,SANDORC,SANT,Unidades,Si,7503016845274,DORZOLAVET COMPUESTO,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,482,Unidades,307.675153,,,0,0,,SANTGARD,Dorzolamida Clorhidrato/Betaxolol Clorhidrato,Q-0820-030,MEDICAMENTOS,GRUPO 3
,DOXURIDIN COMPUESTO,SANDOXC,SANT,Unidades,Si,7503016845267,DOXURIDIN COMPUESTO,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,287,Unidades,158.452108,,,0,0,,SANTGARD,Cloranfenicol/Idoxuridina,Q-0820-014,MEDICAMENTOS,GRUPO 3
,DOXURIDIN SIMPLE,SANDOXS,SANT,Unidades,Si,7503016845236,DOXURIDIN SIMPLE,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,276,Unidades,H88,,,0,0,,SANTGARD,Idoxuridina,Q-0820-029,MEDICAMENTOS,GRUPO 3
,EDETAL GEL,SANEDEG,SANT,Unidades,Si,7503016845144,EDETAL GEL,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,187,Unidades,120.569578,,,0,0,,SANTGARD,EDTA Disódico,Q-0820-007,MEDICAMENTOS,GRUPO 3
,ERITROFTENO,SANERI,SANT,Unidades,Si,7503016845335,ERITROFTENO,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,187,Unidades,115.903664,,,0,0,,SANTGARD,Eritromicina, Q-0820-032,MEDICAMENTOS,GRUPO 2
